"state","PopulationWithLowLiteracy","4thGradersBelowBasicReadingLevel"
"New Hampshire",11.5,33
"Alaska",12.7,49
"Vermont",12.8,38
"Minnesota",13.1,39
"Montana",13.1,35
"Maine",13.4,40
"North Dakota",13.4,35
"Wyoming",13.6,29
"Utah",14.5,33
"Iowa",14.9,36
"South Dakota",14.9,35
"Nevada",15.3,43
"Wisconsin",15.3,37
"Hawaii",15.9,36
"Washington",16.1,39
"Idaho",16.4,39
"Nebraska",16.4,35
"Colorado",16.6,32
"Oregon",16.8,44
"Kansas",16.9,40
"Connecticut",17.2,36
"Massachusetts",17.3,30
"Michigan",17.6,42
"Ohio",17.7,35
"Pennsylvania",18.1,36
"Indiana",18.7,37
"Virginia",18.8,40
"Missouri",18.9,40
"Maryland",20,44
"Oklahoma",20.1,45
"Delaware",20.3,47
"Illinois",20.4,38
"Rhode Island",20.4,38
"New Jersey",20.7,33
"West Virginia",20.9,48
"North Carolina",21.3,39
"Tennessee",21.7,41
"Kentucky",21.9,38
"South Carolina",22.4,39
"Arkansas",23.1,42
"Arizona",23.4,39
"Georgia",23.6,39
"Florida",23.7,29
"Alabama",23.9,41
"New York",24.4,42
"Louisiana",27.1,43
"Mississippi",28,37
"Texas",28.2,42
"California",28.4,42
"New Mexico",29.1,52
